id,archivo,offset,tipo,longitud_original,texto_original,traduccion_ia,traduccion
100001,OVL/ZMAIL.BIN,0x000020,correo,5,zmail,,
100002,OVL/ZMAIL.BIN,0x0000A7,correo,11,<ÿÿd0|°B$ÿÿ,,
100003,OVL/ZMAIL.BIN,0x0000C4,correo,4,l°B$,,
100004,OVL/ZMAIL.BIN,0x0000CB,correo,6,<X°E$É,,
100005,OVL/ZMAIL.BIN,0x0000FB,correo,5,<D´P$,,
100006,OVL/ZMAIL.BIN,0x000134,correo,4,ÿÿC0,,
100007,OVL/ZMAIL.BIN,0x0001C5,correo,4,°B$D,,
100008,OVL/ZMAIL.BIN,0x000218,correo,4,\´f$,,
100009,OVL/ZMAIL.BIN,0x0002EC,correo,4,ÿÿB2,,
100010,OVL/ZMAIL.BIN,0x0004A8,correo,5,<´B$!,,
100011,OVL/ZMAIL.BIN,0x0005B6,correo,4,¤'×d,,
100012,OVL/ZMAIL.BIN,0x00064E,correo,5,a(úÿ ,,
100013,OVL/ZMAIL.BIN,0x000696,correo,4,D&¼L,,
100014,OVL/ZMAIL.BIN,0x00078A,correo,6,±¯È²B$,,
100015,OVL/ZMAIL.BIN,0x0007B0,correo,6,°²E$ÔP,,
100016,OVL/ZMAIL.BIN,0x000921,correo,5,°B$[¦,,
100017,OVL/ZMAIL.BIN,0x000937,correo,5,<´³E$,,
100018,OVL/ZMAIL.BIN,0x00093F,correo,5,<p²D$,,
100019,OVL/ZMAIL.BIN,0x00094C,correo,5,¨³F$4,,
100020,OVL/ZMAIL.BIN,0x000978,correo,5,ÀgB$!,,
100021,OVL/ZMAIL.BIN,0x00098F,correo,6,< ³E$!,,
100022,OVL/ZMAIL.BIN,0x0009A8,correo,5,¼³F$8,,
100023,OVL/ZMAIL.BIN,0x0009BE,correo,7,½'°ÿ½'H,,
100024,OVL/ZMAIL.BIN,0x000A17,correo,6,<Ø²B$ ,,
100025,OVL/ZMAIL.BIN,0x000A2A,correo,4,E$ZP,,
100026,OVL/ZMAIL.BIN,0x000A70,correo,5,hhB$!,,
100027,OVL/ZMAIL.BIN,0x000A88,correo,5,ÿÿP0õ,,
100028,OVL/ZMAIL.BIN,0x000AAE,correo,6,b&ÿÿS0,,
100029,OVL/ZMAIL.BIN,0x000AB6,correo,6,B&ÿÿR0,,
100030,OVL/ZMAIL.BIN,0x000ABF,correo,5,&ÿÿP0,,
100031,OVL/ZMAIL.BIN,0x000AE4,correo,8,ÿÿr2ÿÿR0,,
100032,OVL/ZMAIL.BIN,0x000BA7,correo,6,<ä²B$ ,,
100033,OVL/ZMAIL.BIN,0x000BD0,correo,5,ýÿB0`,,
100034,OVL/ZMAIL.BIN,0x000C0C,correo,5,hhB$!,,
100035,OVL/ZMAIL.BIN,0x000CDA,correo,7,½'¨ÿ½'D,,
100036,OVL/ZMAIL.BIN,0x000D4C,correo,5,ýÿB0`,,
100037,OVL/ZMAIL.BIN,0x000D65,correo,5,±F$±P,,
100038,OVL/ZMAIL.BIN,0x000D8A,correo,4,¤'×d,,
100039,OVL/ZMAIL.BIN,0x000DB1,correo,4,hB$!,,
100040,OVL/ZMAIL.BIN,0x000DC0,correo,4,ÿÿQ0,,
100041,OVL/ZMAIL.BIN,0x000DEF,correo,5,&ÿÿQ0,,
100042,OVL/ZMAIL.BIN,0x000E04,correo,4,ÿÿB2,,
100043,OVL/ZMAIL.BIN,0x000E62,correo,4,R&Èÿ,,
100044,OVL/ZMAIL.BIN,0x000EE9,correo,4,@B0+,,
100045,OVL/ZMAIL.BIN,0x000F38,correo,6,0³E$!0,,
100046,OVL/ZMAIL.BIN,0x000F95,correo,4,³B$ ,,
